nbPlayer, nbType, timeCreateADDV1, timeCreateADDV2
5, 2, 0.265, 0.08
5, 3, 0.095, 0.07
5, 4, 0.085, 0.125
5, 5, 0.065, 0.09
5, 6, 0.115, 0.11
6, 2, 0.05, 0.04
6, 3, 0.065, 0.08
6, 4, 0.1, 0.08
6, 5, 0.14, 0.125
6, 6, 0.145, 0.15
7, 2, 0.05, 0.045
7, 3, 0.035, 0.085
7, 4, 0.16, 0.14
7, 5, 0.16, 0.21
7, 6, 0.23, 0.13
8, 2, 0.075, 0.025
8, 3, 0.135, 0.045
8, 4, 0.125, 0.045
8, 5, 0.11, 0.065
8, 6, 0.11, 0.16
9, 2, 0.035, 0.015
9, 3, 0.06, 0.04
9, 4, 0.11, 0.07
9, 5, 0.12, 0.16
9, 6, 0.22, 0.18
10, 2, 0.035, 0.035
10, 3, 0.09, 0.07
10, 4, 0.14, 0.205
10, 5, 0.26, 0.24
10, 6, 0.325, 0.38
11, 2, 0.05, 0.035
11, 3, 0.1, 0.095
11, 4, 0.195, 0.23
11, 5, 0.375, 0.28
11, 6, 0.825, 0.955
12, 2, 0.055, 0.1
12, 3, 0.135, 0.2
12, 4, 0.315, 0.28
12, 5, 0.485, 0.445
12, 6, 0.8, 0.765
13, 2, 0.085, 0.06
13, 3, 0.235, 0.18
13, 4, 0.545, 0.38
13, 5, 0.915, 0.81
13, 6, 1.41, 1.155
14, 2, 0.085, 0.07
14, 3, 0.28, 0.17
14, 4, 0.66, 0.515
14, 5, 1.14, 0.88
14, 6, 2.505, 1.995
15, 2, 0.12, 0.07
15, 3, 0.3, 0.225
15, 4, 0.725, 0.635
15, 5, 2.075, 1.63
15, 6, 4.155, 3.385
16, 2, 0.12, 0.105
16, 3, 0.43, 0.32
16, 4, 1.345, 0.905
16, 5, 3.07, 2.19
16, 6, 6.795, 5.24
17, 2, 0.12, 0.135
17, 3, 0.765, 0.62
17, 4, 2.01, 1.435
17, 5, 4.74, 3.33
17, 6, 9.495, 6.345
18, 2, 0.24, 0.125
18, 3, 0.9, 0.515
18, 4, 2.73, 1.845
18, 5, 6.735, 4.165
18, 6, 19.78, 12.23
19, 2, 0.31, 0.175
19, 3, 1.145, 0.795
19, 4, 7.035, 5.535
19, 5, 14.87, 10.415
19, 6, 34.985, 21.24
20, 2, 0.275, 0.25
20, 3, 1.725, 1.06
20, 4, 5.535, 3.385
20, 5, 15.555, 7.72
20, 6, 51.385, 27.6
