nbPlayer, nbType, timeCreateADD, timeCreateADDbis, timeCretaeDAG, nbNodeADD, nbNodeADDbis, nbNodeDAG, timeSolveADD, timeSolveDAG, nbEmptyCore
5, 2, 0.22, 0.04, 0.015, 18.44, 15.785, 18.57, 0.425, 0.4, 0.0
5, 3, 0.03, 0.045, 0.02, 21.305, 18.755, 21.885, 0.405, 0.38, 0.0
5, 4, 0.045, 0.065, 0.005, 19.17, 16.205, 20.375, 0.31, 0.275, 0.0
5, 5, 0.05, 0.035, 0.0, 19.725, 15.895, 20.48, 0.28, 0.275, 4.0
5, 6, 0.06, 0.095, 0.01, 15.135, 11.02, 16.495, 0.305, 0.39, 0.0
6, 2, 0.07, 0.02, 0.005, 26.825, 23.465, 27.195, 0.59, 0.625, 4.0
6, 3, 0.105, 0.025, 0.0, 33.205, 30.38, 33.905, 0.505, 0.505, 0.0
6, 4, 0.1, 0.03, 0.005, 30.835, 27.61, 33.285, 0.37, 0.42, 0.0
6, 5, 0.03, 0.045, 0.02, 32.99, 28.06, 34.775, 0.39, 0.385, 12.0
6, 6, 0.05, 0.05, 0.005, 24.875, 19.815, 27.455, 0.34, 0.32, 0.0
7, 2, 0.1, 0.015, 0.015, 33.0, 28.59, 34.12, 0.465, 0.49, 17.0
7, 3, 0.13, 0.035, 0.0, 45.99, 42.545, 47.93, 0.47, 0.455, 6.0
7, 4, 0.065, 0.045, 0.015, 46.92, 43.245, 50.4, 0.505, 0.385, 2.0
7, 5, 0.11, 0.045, 0.0, 47.95, 41.965, 50.58, 0.405, 0.405, 12.0
7, 6, 0.08, 0.09, 0.005, 40.71, 34.515, 45.85, 0.345, 0.35, 0.0
8, 2, 0.125, 0.02, 0.0, 44.785, 39.15, 46.445, 0.45, 0.455, 31.0
8, 3, 0.15, 0.04, 0.01, 65.43, 61.26, 67.095, 0.48, 0.54, 6.0
8, 4, 0.15, 0.07, 0.01, 69.06, 64.895, 73.67, 0.54, 0.53, 3.0
8, 5, 0.17, 0.12, 0.005, 72.465, 65.795, 77.125, 0.45, 0.5, 17.0
8, 6, 0.19, 0.19, 0.0, 62.985, 55.425, 70.095, 0.475, 0.47, 1.0
9, 2, 0.34, 0.025, 0.0, 55.015, 48.25, 57.63, 0.485, 0.55, 42.0
9, 3, 0.33, 0.11, 0.005, 85.5, 80.13, 88.57, 0.615, 0.575, 22.0
9, 4, 0.34, 0.12, 0.025, 94.895, 90.01, 100.415, 0.625, 0.585, 4.0
9, 5, 0.335, 0.185, 0.01, 104.13, 96.075, 109.29, 0.56, 0.625, 10.0
9, 6, 0.32, 0.26, 0.01, 99.305, 90.235, 112.42, 0.525, 0.545, 0.0
10, 2, 0.75, 0.05, 0.01, 69.865, 61.415, 73.73, 0.615, 0.59, 50.0
10, 3, 0.915, 0.115, 0.005, 116.29, 110.04, 120.39, 0.615, 0.59, 24.0
10, 4, 0.81, 0.12, 0.015, 127.0, 121.42, 134.715, 0.72, 0.68, 6.0
10, 5, 0.775, 0.285, 0.015, 145.8, 136.765, 153.03, 0.7, 0.685, 23.0
10, 6, 0.79, 0.43, 0.01, 154.32, 143.43, 173.2, 0.685, 0.83, 1.0
11, 2, 1.62, 0.07, 0.005, 81.275, 70.885, 87.15, 0.635, 0.64, 83.0
11, 3, 1.725, 0.135, 0.0, 144.39, 136.465, 148.495, 0.805, 0.785, 32.0
11, 4, 1.745, 0.17, 0.015, 159.34, 152.885, 170.23, 0.77, 0.825, 5.0
11, 5, 1.72, 0.37, 0.025, 199.2, 189.435, 211.48, 0.815, 0.94, 27.0
11, 6, 1.78, 0.54, 0.01, 211.03, 197.775, 235.98, 0.88, 0.995, 1.0
12, 2, 3.405, 0.05, 0.01, 97.975, 86.755, 105.7, 0.75, 0.785, 69.0
12, 3, 3.7, 0.145, 0.015, 185.21, 175.5, 190.78, 0.945, 1.0, 34.0
12, 4, 3.72, 0.36, 0.025, 226.115, 218.72, 239.225, 1.115, 1.115, 7.0
12, 5, 3.73, 0.52, 0.04, 280.08, 267.685, 295.49, 1.18, 1.31, 32.0
12, 6, 3.735, 1.0, 0.02, 286.38, 271.245, 316.725, 1.13, 1.29, 1.0
13, 2, 7.395, 0.06, 0.02, 116.27, 102.85, 127.065, 0.82, 0.9, 77.0
13, 3, 7.77, 0.225, 0.02, 226.66, 213.28, 235.765, 1.175, 1.18, 48.0
