nbPlayer, nbType, t1Nu, t1AddO, t1AddOo, t1AddNo, t2Nu, t2AddO, t2AddOo, t2AddNo, t3Nu, t3AddO, t3AddOo, t3AddNo, t4Nu, t4AddO, t4AddOo, t4AddNo, n1AddO, n1AddOo, n1AddNo, n2AddO, n2AddOo, n2AddNo, nbEmptyCore
21, 2, 0.0, 0.935, 0.0, 0.0, 0.0, 9.005, 0.0, 0.0, 0.0, 6.055, 0.0, 0.0, 0.0, 2.95, 0.0, 0.0, 303, 0, 0, 389, 0, 0, 118
21, 3, 0.0, 2.35, 0.0, 0.0, 0.0, 14.835, 0.0, 0.0, 0.0, 9.21, 0.0, 0.0, 0.0, 5.625, 0.0, 0.0, 777, 0, 0, 871, 0, 0, 70
21, 4, 0.0, 6.06, 0.0, 0.0, 0.0, 20.22, 0.0, 0.0, 0.0, 11.795, 0.0, 0.0, 0.0, 8.425, 0.0, 0.0, 1165, 0, 0, 1263, 0, 0, 36
21, 5, 0.0, 19.47, 0.0, 0.0, 0.0, 46.58, 0.0, 0.0, 0.0, 28.93, 0.0, 0.0, 0.0, 17.65, 0.0, 0.0, 2144, 0, 0, 2311, 0, 0, 65
21, 6, 0.0, 44.965, 0.0, 0.0, 0.0, 53.55, 0.0, 0.0, 0.0, 22.77, 0.0, 0.0, 0.0, 30.78, 0.0, 0.0, 3008, 0, 0, 3306, 0, 0, 3
22, 2, 0.0, 0.56, 0.0, 0.0, 0.0, 5.74, 0.0, 0.0, 0.0, 2.67, 0.0, 0.0, 0.0, 3.07, 0.0, 0.0, 352, 0, 0, 453, 0, 0, 121
22, 3, 0.0, 3.16, 0.0, 0.0, 0.0, 12.47, 0.0, 0.0, 0.0, 5.69, 0.0, 0.0, 0.0, 6.78, 0.0, 0.0, 908, 0, 0, 1010, 0, 0, 86
22, 4, 0.0, 17.525, 0.0, 0.0, 0.0, 21.39, 0.0, 0.0, 0.0, 9.61, 0.0, 0.0, 0.0, 11.78, 0.0, 0.0, 1556, 0, 0, 1676, 0, 0, 26
22, 5, 0.0, 23.465, 0.0, 0.0, 0.0, 40.92, 0.0, 0.0, 0.0, 17.38, 0.0, 0.0, 0.0, 23.54, 0.0, 0.0, 2654, 0, 0, 2816, 0, 0, 59
22, 6, 0.0, 100.48, 0.0, 0.0, 0.0, 73.085, 0.0, 0.0, 0.0, 26.2, 0.0, 0.0, 0.0, 46.885, 0.0, 0.0, 3829, 0, 0, 4213, 0, 0, 10
23, 2, 0.0, 0.6, 0.0, 0.0, 0.0, 6.505, 0.0, 0.0, 0.0, 2.865, 0.0, 0.0, 0.0, 3.64, 0.0, 0.0, 394, 0, 0, 498, 0, 0, 133
23, 3, 0.0, 3.83, 0.0, 0.0, 0.0, 14.79, 0.0, 0.0, 0.0, 6.535, 0.0, 0.0, 0.0, 8.255, 0.0, 0.0, 1048, 0, 0, 1159, 0, 0, 77
23, 4, 0.0, 11.64, 0.0, 0.0, 0.0, 25.445, 0.0, 0.0, 0.0, 11.655, 0.0, 0.0, 0.0, 13.79, 0.0, 0.0, 1646, 0, 0, 1802, 0, 0, 35
23, 5, 0.0, 37.535, 0.0, 0.0, 0.0, 51.22, 0.0, 0.0, 0.0, 19.03, 0.0, 0.0, 0.0, 32.19, 0.0, 0.0, 3125, 0, 0, 3366, 0, 0, 73
23, 6, 0.0, 132.12, 0.0, 0.0, 0.0, 77.96, 0.0, 0.0, 0.0, 26.875, 0.0, 0.0, 0.0, 51.085, 0.0, 0.0, 4135, 0, 0, 4514, 0, 0, 10
24, 2, 0.0, 0.715, 0.0, 0.0, 0.0, 6.91, 0.0, 0.0, 0.0, 3.2, 0.0, 0.0, 0.0, 3.71, 0.0, 0.0, 420, 0, 0, 552, 0, 0, 122
