nbPlayer, nbType, moyNbAddNode, moyNbDagNode, moyTimeSCAdd, moyTimeSCDag, nbGameSCused, nb1, nb2, nb3, nb4
5, 2, 9, 14, 6.722222222222222, 7.444444444444445, 18, 18, 0, 0, 0
5, 3, 9, 14, 3.2222222222222223, 4.222222222222222, 9, 9, 0, 0, 0
5, 4, 8, 14, 3.4444444444444446, 6.111111111111111, 9, 9, 0, 0, 0
5, 5, 10, 18, 4.571428571428571, 14.571428571428571, 21, 21, 0, 0, 0
5, 6, 0, 0, 0.0, 0.0, 1, 0, 0, 0, 0
6, 2, 13, 21, 19.09375, 10.78125, 32, 25, 0, 0, 7
6, 3, 16, 23, 8.428571428571429, 8.857142857142858, 21, 20, 0, 0, 1
6, 4, 15, 22, 8.875, 10.625, 8, 7, 0, 0, 1
6, 5, 14, 23, 7.333333333333333, 11.833333333333334, 18, 18, 0, 0, 0
6, 6, 18, 26, 5.0, 5.0, 1, 1, 0, 0, 0
7, 2, 17, 28, 10.065573770491802, 12.459016393442623, 61, 56, 0, 0, 5
7, 3, 19, 29, 9.228571428571428, 11.942857142857143, 35, 33, 0, 0, 2
7, 4, 21, 31, 10.76923076923077, 11.076923076923077, 13, 12, 0, 0, 1
7, 5, 23, 35, 7.1, 10.833333333333334, 30, 30, 0, 0, 0
7, 6, 17, 27, 4.0, 5.0, 1, 1, 0, 0, 0
8, 2, 25, 38, 18.228070175438596, 22.649122807017545, 57, 50, 0, 0, 7
8, 3, 30, 43, 13.65625, 17.375, 32, 28, 0, 0, 4
8, 4, 26, 39, 9.923076923076923, 15.0, 13, 13, 0, 0, 0
8, 5, 37, 52, 9.91891891891892, 18.675675675675677, 37, 37, 0, 0, 0
8, 6, 29, 45, 7.8, 12.0, 5, 5, 0, 0, 0
9, 2, 29, 46, 31.12, 52.81333333333333, 75, 67, 0, 0, 8
9, 3, 39, 54, 20.367346938775512, 23.714285714285715, 49, 43, 0, 0, 6
9, 4, 46, 63, 26.866666666666667, 45.266666666666666, 15, 15, 0, 0, 0
9, 5, 57, 76, 23.652173913043477, 43.0, 46, 45, 0, 0, 1
9, 6, 45, 67, 20.0, 32.666666666666664, 3, 3, 0, 0, 0
10, 2, 39, 60, 349.1, 630.8142857142857, 70, 57, 0, 0, 13
10, 3, 52, 71, 37.27450980392157, 49.8235294117647, 51, 43, 0, 0, 8
10, 4, 59, 82, 27.88235294117647, 29.764705882352942, 17, 15, 0, 0, 2
10, 5, 78, 98, 37.04651162790697, 108.11627906976744, 43, 41, 0, 0, 2
10, 6, 59, 88, 18.0, 59.0, 6, 6, 0, 0, 0
11, 2, 42, 70, 3181.6979166666665, 2989.7083333333335, 96, 88, 0, 0, 8
11, 3, 63, 88, 562.0652173913044, 3259.8260869565215, 46, 40, 0, 0, 6
11, 4, 88, 111, 95.13333333333334, 135.16666666666666, 30, 21, 0, 0, 9
11, 5, 117, 148, 38.549019607843135, 107.98039215686275, 51, 51, 0, 0, 0
11, 6, 97, 137, 27.818181818181817, 195.9090909090909, 11, 11, 0, 0, 0
12, 2, 64, 95, 7947.5, 9251.322916666666, 96, 73, 0, 0, 23
12, 3, 88, 117, 2622.875, 3162.1458333333335, 48, 37, 0, 0, 11
12, 4, 123, 155, 510.56, 963.88, 25, 22, 0, 0, 3
12, 5, 145, 181, 93.49056603773585, 276.2830188679245, 53, 53, 0, 0, 0
12, 6, 84, 122, 70.16666666666667, 193.83333333333334, 6, 4, 0, 0, 2
13, 2, 67, 105, 4302.81, 4428.83, 100, 81, 0, 0, 19
13, 3, 114, 155, 4684.623376623376, 5013.987012987013, 77, 64, 0, 0, 13
13, 4, 117, 159, 225.5897435897436, 2292.74358974359, 39, 36, 0, 0, 3
13, 5, 189, 235, 1069.095238095238, 1194.5555555555557, 63, 62, 0, 0, 1
13, 6, 196, 253, 106.5, 388.9, 10, 8, 0, 0, 2
14, 2, 88, 138, 6100.371428571429, 9204.704761904763, 105, 79, 0, 2, 24
14, 3, 132, 178, 8275.2, 8346.233333333334, 60, 48, 0, 0, 12
14, 4, 177, 221, 10700.0, 14194.90625, 32, 22, 0, 0, 10
14, 5, 242, 298, 192.36363636363637, 657.2272727272727, 44, 44, 0, 0, 0
14, 6, 289, 365, 9116.642857142857, 13125.857142857143, 14, 10, 0, 0, 4
15, 2, 114, 169, 8700.48695652174, 10521.121739130434, 115, 83, 0, 2, 30
15, 3, 158, 213, 12384.939024390244, 13837.060975609756, 82, 60, 0, 1, 21
15, 4, 177, 233, 4926.575757575758, 10783.121212121212, 33, 26, 0, 1, 6
15, 5, 315, 386, 1216.9375, 1940.890625, 64, 62, 0, 1, 1
15, 6, 431, 589, 21308.222222222223, 20970.555555555555, 9, 6, 0, 0, 3
16, 2, 111, 170, 9567.990476190476, 11192.733333333334, 105, 79, 0, 2, 24
16, 3, 235, 304, 12758.181818181818, 16563.984848484848, 66, 48, 0, 3, 15
16, 4, 264, 338, 10229.0, 14723.878787878788, 33, 24, 0, 1, 8
16, 5, 404, 498, 5830.118644067797, 7190.932203389831, 59, 52, 0, 2, 5
16, 6, 314, 412, 3531.75, 9640.2, 20, 16, 0, 1, 3
17, 2, 141, 213, 8326.0, 13555.154471544716, 123, 91, 0, 4, 28
17, 3, 220, 315, 14960.5875, 14881.775, 80, 58, 3, 2, 17
17, 4, 332, 422, 15156.03125, 20597.53125, 32, 20, 1, 4, 7
17, 5, 526, 622, 5928.969230769231, 9285.415384615384, 65, 56, 1, 4, 4
17, 6, 495, 637, 9285.818181818182, 12742.818181818182, 11, 8, 0, 1, 2
18, 2, 158, 243, 11666.32380952381, 13580.714285714286, 105, 82, 0, 1, 22
18, 3, 264, 362, 16834.75, 19666.916666666668, 72, 49, 1, 3, 19
18, 4, 360, 442, 15022.212765957447, 24072.340425531915, 47, 28, 1, 7, 11
18, 5, 708, 840, 8659.833333333334, 9200.263888888889, 72, 61, 3, 3, 5
18, 6, 718, 883, 20666.909090909092, 13472.818181818182, 11, 8, 1, 0, 2
19, 2, 181, 270, 14160.383458646616, 17746.48872180451, 133, 96, 0, 5, 32
19, 3, 340, 448, 16863.034090909092, 22093.795454545456, 88, 56, 2, 8, 22
19, 4, 420, 532, 11749.904761904761, 18035.261904761905, 42, 29, 1, 3, 9
19, 5, 975, 1109, 10215.205479452055, 11637.164383561643, 73, 59, 3, 5, 6
19, 6, 894, 1178, 22127.590909090908, 31288.31818181818, 22, 13, 0, 3, 6
20, 2, 218, 323, 18293.89075630252, 21570.8487394958, 119, 79, 0, 5, 35
20, 3, 407, 554, 18213.625, 21727.45, 80, 52, 3, 6, 19
20, 4, 555, 722, 25339.38775510204, 32747.122448979593, 49, 22, 1, 7, 19
20, 5, 1123, 1340, 11688.48, 17404.0, 75, 56, 4, 8, 7
20, 6, 967, 1127, 30669.25, 30996.083333333332, 12, 5, 2, 2, 3
