nbPlayer, nbType, timeNu, timeAddO, timeAddNO, timeAddOO, nbNodeAddO, nbNodeAddNO, nbNodeAddOO, temsConstructNu, tempsConstructAddO, tempsConstructAddNO, tempsConstructAddOO
10, 2, 2.0, 1.0, 0.0, 1.0, 51.0, 56.0, 78.0, 1.0, 1.0, 1.0, 1.0
10, 2, 1.0, 0.0, 0.0, 1.0, 30.0, 59.0, 65.0, 1.0, 1.0, 1.0, 0.0
10, 2, 2.0, 0.0, 0.0, 0.0, 32.0, 39.0, 35.0, 1.0, 1.0, 1.0, 0.0
10, 2, 1.0, 0.0, 0.0, 1.0, 30.0, 68.0, 65.0, 2.0, 1.0, 0.0, 1.0
10, 2, 2.0, 0.0, 1.0, 0.0, 45.0, 79.0, 67.0, 1.0, 1.0, 1.0, 1.0
10, 2, 2.0, 2.0, 0.0, 1.0, 121.0, 121.0, 121.0, 2.0, 1.0, 0.0, 1.0
10, 2, 2.0, 0.0, 0.0, 0.0, 59.0, 89.0, 86.0, 1.0, 0.0, 1.0, 1.0
10, 2, 2.0, 1.0, 1.0, 0.0, 72.0, 105.0, 106.0, 2.0, 1.0, 0.0, 1.0
10, 2, 3.0, 1.0, 1.0, 0.0, 29.0, 54.0, 53.0, 1.0, 1.0, 1.0, 1.0
10, 2, 1.0, 1.0, 0.0, 1.0, 27.0, 43.0, 40.0, 1.0, 0.0, 2.0, 1.0
10, 2, 1.0, 1.0, 1.0, 1.0, 51.0, 80.0, 78.0, 1.0, 0.0, 1.0, 1.0
10, 2, 2.0, 1.0, 1.0, 0.0, 87.0, 118.0, 91.0, 1.0, 1.0, 1.0, 0.0
10, 2, 1.0, 0.0, 1.0, 0.0, 30.0, 56.0, 65.0, 2.0, 1.0, 0.0, 1.0
10, 2, 1.0, 1.0, 0.0, 1.0, 43.0, 70.0, 69.0, 1.0, 1.0, 1.0, 0.0
10, 2, 2.0, 1.0, 0.0, 0.0, 23.0, 27.0, 27.0, 1.0, 1.0, 1.0, 0.0
10, 2, 2.0, 1.0, 0.0, 0.0, 39.0, 61.0, 73.0, 1.0, 1.0, 1.0, 1.0
10, 2, 2.0, 0.0, 1.0, 1.0, 69.0, 98.0, 76.0, 1.0, 1.0, 1.0, 1.0
10, 2, 1.0, 1.0, 1.0, 1.0, 46.0, 59.0, 83.0, 1.0, 1.0, 1.0, 1.0
10, 2, 2.0, 0.0, 1.0, 0.0, 90.0, 90.0, 90.0, 1.0, 1.0, 1.0, 0.0
10, 2, 1.0, 0.0, 0.0, 1.0, 23.0, 33.0, 44.0, 2.0, 1.0, 0.0, 1.0
10, 2, 2.0, 1.0, 1.0, 1.0, 132.0, 132.0, 132.0, 1.0, 1.0, 1.0, 0.0
10, 2, 1.0, 0.0, 0.0, 1.0, 23.0, 42.0, 44.0, 1.0, 1.0, 1.0, 1.0
10, 2, 3.0, 1.0, 1.0, 1.0, 53.0, 72.0, 42.0, 2.0, 1.0, 1.0, 1.0
10, 2, 3.0, 1.0, 0.0, 1.0, 67.0, 94.0, 62.0, 1.0, 1.0, 1.0, 0.0
10, 2, 2.0, 0.0, 1.0, 0.0, 36.0, 50.0, 31.0, 1.0, 1.0, 1.0, 0.0
10, 2, 1.0, 0.0, 0.0, 0.0, 21.0, 29.0, 29.0, 1.0, 1.0, 0.0, 1.0
10, 2, 2.0, 0.0, 1.0, 1.0, 69.0, 104.0, 76.0, 1.0, 1.0, 1.0, 1.0
10, 2, 3.0, 1.0, 1.0, 1.0, 101.0, 101.0, 101.0, 1.0, 1.0, 1.0, 0.0
10, 2, 3.0, 0.0, 0.0, 0.0, 22.0, 26.0, 28.0, 2.0, 1.0, 0.0, 1.0
10, 2, 2.0, 0.0, 0.0, 1.0, 61.0, 102.0, 97.0, 2.0, 1.0, 0.0, 1.0
10, 2, 2.0, 1.0, 1.0, 0.0, 72.0, 78.0, 106.0, 1.0, 1.0, 1.0, 2.0
10, 2, 3.0, 1.0, 1.0, 1.0, 57.0, 69.0, 38.0, 1.0, 1.0, 1.0, 0.0
10, 2, 3.0, 1.0, 1.0, 1.0, 87.0, 126.0, 91.0, 1.0, 0.0, 1.0, 1.0
10, 2, 3.0, 1.0, 1.0, 1.0, 125.0, 125.0, 125.0, 1.0, 1.0, 1.0, 1.0
10, 2, 1.0, 1.0, 0.0, 0.0, 51.0, 78.0, 78.0, 1.0, 1.0, 1.0, 1.0
10, 2, 2.0, 1.0, 0.0, 0.0, 29.0, 57.0, 53.0, 2.0, 1.0, 0.0, 1.0
10, 2, 3.0, 0.0, 1.0, 1.0, 46.0, 46.0, 46.0, 2.0, 1.0, 0.0, 1.0
10, 2, 2.0, 1.0, 1.0, 1.0, 81.0, 81.0, 81.0, 1.0, 1.0, 1.0, 0.0
10, 2, 2.0, 0.0, 1.0, 1.0, 36.0, 44.0, 31.0, 1.0, 1.0, 1.0, 1.0
10, 2, 2.0, 0.0, 1.0, 1.0, 27.0, 38.0, 40.0, 1.0, 1.0, 6.0, 0.0
10, 2, 2.0, 1.0, 0.0, 1.0, 74.0, 108.0, 106.0, 1.0, 1.0, 1.0, 0.0
10, 2, 2.0, 1.0, 0.0, 1.0, 47.0, 63.0, 35.0, 1.0, 1.0, 1.0, 0.0
10, 2, 4.0, 0.0, 1.0, 1.0, 73.0, 106.0, 85.0, 1.0, 1.0, 1.0, 0.0
