nbPlayer, nbType, MoytimeNu, MoytimeAddO, MoytimeAddnO, MoytimeAddOO, MoynbNodeAddO, MoynbNodeAddnO, MoynbNodeAddOO, MoytimeConstructNu, MoytimeConstructAddO, MoytimeConstructAddNO, MoytimeConstructAddOO
2, 2, 0.18, 0.08, 0.22, 0.16, 4.2, 4.2, 4.2, 7.0, 5.0, 9.0, 3.0
2, 3, 0.06, 0.14, 0.18, 0.14, 3.96, 3.96, 3.96, 4.0, 5.0, 5.0, 2.0
2, 4, 0.2, 0.04, 0.32, 0.1, 3.48, 3.48, 3.48, 1.0, 0.0, 2.0, 0.0
2, 5, 0.18, 0.06, 0.14, 0.12, 3.82, 3.82, 3.82, 2.0, 3.0, 2.0, 0.0
2, 6, 0.06, 0.12, 0.1, 0.12, 3.28, 3.28, 3.28, 1.0, 3.0, 0.0, 2.0
3, 2, 0.18, 0.2, 0.12, 0.14, 6.1, 6.5, 6.8, 1.0, 3.0, 2.0, 0.0
3, 3, 0.16, 0.14, 0.18, 0.26, 7.02, 7.4, 7.56, 2.0, 1.0, 5.0, 0.0
3, 4, 0.18, 0.04, 0.24, 0.16, 6.16, 6.34, 6.52, 0.0, 0.0, 1.0, 1.0
3, 5, 0.16, 0.1, 0.16, 0.16, 5.9, 6.22, 6.26, 3.0, 0.0, 3.0, 0.0
3, 6, 0.24, 0.18, 0.1, 0.18, 5.42, 5.44, 5.48, 3.0, 0.0, 2.0, 0.0
4, 2, 0.36, 0.4, 0.38, 0.48, 11.02, 11.64, 11.92, 6.0, 0.0, 3.0, 0.0
4, 3, 0.22, 0.34, 0.24, 0.34, 11.62, 12.44, 12.68, 3.0, 0.0, 3.0, 0.0
4, 4, 0.18, 0.2, 0.12, 0.24, 9.34, 9.9, 10.18, 2.0, 1.0, 4.0, 0.0
4, 5, 0.2, 0.16, 0.22, 0.26, 9.9, 10.28, 10.22, 2.0, 1.0, 2.0, 1.0
4, 6, 0.18, 0.22, 0.2, 0.36, 8.38, 8.68, 8.7, 0.0, 0.0, 1.0, 1.0
5, 2, 0.44, 0.46, 0.28, 0.34, 12.96, 14.98, 14.66, 3.0, 2.0, 2.0, 2.0
5, 3, 0.34, 0.28, 0.32, 0.3, 15.38, 17.74, 17.92, 2.0, 3.0, 2.0, 4.0
5, 4, 0.2, 0.28, 0.16, 0.34, 13.96, 16.24, 16.54, 0.0, 1.0, 2.0, 2.0
5, 5, 0.26, 0.32, 0.22, 0.38, 14.94, 15.9, 16.54, 1.0, 2.0, 1.0, 0.0
5, 6, 0.16, 0.16, 0.3, 0.2, 12.18, 13.36, 13.28, 0.0, 5.0, 2.0, 10.0
6, 2, 0.44, 0.48, 0.44, 0.48, 23.1, 25.94, 26.04, 2.0, 10.0, 3.0, 7.0
6, 3, 0.32, 0.42, 0.44, 0.38, 22.22, 26.0, 26.58, 3.0, 8.0, 4.0, 6.0
6, 4, 0.48, 0.36, 0.34, 0.48, 23.36, 27.86, 27.52, 6.0, 8.0, 3.0, 7.0
6, 5, 0.3, 0.28, 0.22, 0.3, 23.38, 25.1, 25.9, 5.0, 6.0, 3.0, 4.0
6, 6, 0.38, 0.3, 0.36, 0.34, 22.54, 25.12, 25.74, 3.0, 8.0, 2.0, 1.0
7, 2, 0.66, 0.54, 0.52, 0.4, 26.36, 34.9, 31.82, 5.0, 21.0, 3.0, 6.0
7, 3, 0.56, 0.42, 0.44, 0.32, 30.42, 38.2, 38.44, 7.0, 13.0, 11.0, 7.0
7, 4, 0.52, 0.5, 0.34, 0.34, 31.68, 39.4, 38.28, 3.0, 5.0, 10.0, 6.0
7, 5, 0.4, 0.44, 0.3, 0.36, 32.98, 40.68, 41.46, 8.0, 9.0, 11.0, 4.0
7, 6, 0.44, 0.48, 0.38, 0.42, 41.74, 51.36, 50.62, 7.0, 10.0, 7.0, 5.0
