nbPlayer, nbType, timeNu, timeAddO, timeAddNO, timeAddOO, nbNodeAddO, nbNodeAddNO, nbNodeAddOO, temsConstructNu, tempsConstructAddO, tempsConstructAddNO, tempsConstructAddOO
18, 3, 1669.0, 2.0, 4.0, 1.0, 151.0, 380.0, 155.0, 847.0, 264.0, 270.0, 264.0
18, 3, 2000.0, 3.0, 14.0, 4.0, 355.0, 812.0, 367.0, 780.0, 284.0, 381.0, 287.0
18, 3, 2429.0, 3.0, 6.0, 2.0, 270.0, 497.0, 306.0, 836.0, 277.0, 283.0, 340.0
18, 3, 1161.0, 1.0, 7.0, 3.0, 179.0, 731.0, 531.0, 905.0, 275.0, 282.0, 275.0
18, 3, 1717.0, 2.0, 3.0, 4.0, 219.0, 327.0, 390.0, 766.0, 268.0, 341.0, 269.0
18, 3, 1184.0, 4.0, 7.0, 4.0, 381.0, 593.0, 509.0, 833.0, 355.0, 289.0, 285.0
18, 3, 1838.0, 2.0, 4.0, 2.0, 177.0, 394.0, 233.0, 845.0, 263.0, 262.0, 327.0
18, 3, 1775.0, 2.0, 5.0, 1.0, 180.0, 416.0, 145.0, 851.0, 265.0, 268.0, 332.0
18, 3, 1240.0, 3.0, 5.0, 4.0, 325.0, 555.0, 426.0, 942.0, 283.0, 287.0, 276.0
18, 3, 1048.0, 3.0, 7.0, 8.0, 189.0, 536.0, 503.0, 841.0, 267.0, 327.0, 268.0
18, 3, 1689.0, 0.0, 1.0, 1.0, 82.0, 226.0, 131.0, 1041.0, 378.0, 372.0, 371.0
18, 3, 1176.0, 5.0, 6.0, 5.0, 609.0, 611.0, 581.0, 838.0, 396.0, 294.0, 292.0
18, 3, 1084.0, 2.0, 6.0, 4.0, 144.0, 585.0, 546.0, 865.0, 273.0, 276.0, 338.0
18, 3, 1791.0, 2.0, 3.0, 2.0, 285.0, 372.0, 173.0, 748.0, 275.0, 366.0, 271.0
18, 3, 1797.0, 8.0, 13.0, 15.0, 509.0, 841.0, 735.0, 836.0, 290.0, 292.0, 363.0
18, 3, 1119.0, 2.0, 7.0, 4.0, 285.0, 590.0, 387.0, 772.0, 276.0, 362.0, 275.0
18, 3, 1769.0, 1.0, 5.0, 2.0, 127.0, 449.0, 341.0, 836.0, 267.0, 274.0, 334.0
18, 3, 1760.0, 1.0, 2.0, 1.0, 89.0, 233.0, 133.0, 770.0, 253.0, 340.0, 246.0
18, 3, 1261.0, 4.0, 9.0, 4.0, 498.0, 704.0, 441.0, 865.0, 288.0, 295.0, 356.0
18, 3, 1181.0, 3.0, 4.0, 2.0, 260.0, 493.0, 480.0, 772.0, 278.0, 369.0, 277.0
18, 3, 1070.0, 2.0, 3.0, 4.0, 169.0, 504.0, 456.0, 819.0, 272.0, 278.0, 341.0
