nbPlayer, nbType, MoytimeNu, MoytimeAddO, MoytimeAddnO, MoytimeAddOO, MoynbNodeAddO, MoynbNodeAddnO, MoynbNodeAddOO, MoytimeConstructNu, MoytimeConstructAddO, MoytimeConstructAddNO, MoytimeConstructAddOO
11, 2, 4.44, 0.78, 0.92, 0.68, 59.86, 89.82, 76.14, 217.0, 117.0, 129.0, 119.0
11, 3, 3.54, 0.78, 0.98, 0.82, 84.32, 126.36, 108.36, 163.0, 67.0, 75.0, 80.0
11, 4, 3.08, 0.86, 1.04, 1.0, 99.12, 148.56, 133.02, 153.0, 78.0, 75.0, 68.0
11, 5, 3.12, 0.92, 1.32, 1.1, 128.74, 176.74, 171.84, 161.0, 76.0, 74.0, 78.0
11, 6, 2.7, 1.02, 1.48, 1.38, 158.56, 242.42, 225.44, 162.0, 79.0, 76.0, 78.0
12, 2, 12.1, 0.84, 0.92, 0.82, 80.7, 109.82, 103.3, 336.0, 141.0, 147.0, 146.0
12, 3, 11.14, 0.88, 1.34, 0.98, 96.66, 159.2, 138.54, 318.0, 141.0, 145.0, 163.0
12, 4, 9.54, 1.06, 1.58, 1.32, 137.36, 215.16, 191.86, 334.0, 153.0, 155.0, 150.0
12, 5, 9.6, 1.12, 1.84, 1.42, 177.64, 259.46, 234.34, 331.0, 149.0, 165.0, 158.0
12, 6, 8.22, 1.96, 2.82, 2.32, 326.6, 472.48, 445.78, 335.0, 174.0, 170.0, 163.0
13, 2, 24.02, 0.82, 1.14, 0.9, 91.6, 142.76, 119.64, 725.0, 301.0, 326.0, 306.0
13, 3, 20.9, 0.98, 1.78, 1.18, 115.98, 201.12, 169.14, 749.0, 311.0, 316.0, 334.0
13, 4, 18.76, 1.3, 2.1, 1.48, 171.0, 278.5, 221.26, 711.0, 328.0, 330.0, 312.0
13, 5, 17.6, 1.38, 2.06, 1.62, 207.28, 308.44, 256.9, 752.0, 320.0, 332.0, 321.0
13, 6, 15.94, 2.1, 3.94, 3.12, 361.8, 593.24, 543.44, 768.0, 356.0, 359.0, 348.0
14, 2, 54.42, 1.12, 1.44, 0.94, 116.52, 160.44, 141.02, 1594.0, 646.0, 670.0, 648.0
14, 3, 51.08, 1.26, 2.16, 1.44, 142.0, 246.64, 220.04, 1660.0, 671.0, 689.0, 660.0
14, 4, 44.2, 1.5, 3.32, 1.66, 203.16, 369.86, 257.86, 1666.0, 692.0, 726.0, 695.0
14, 5, 40.66, 1.72, 3.82, 2.72, 264.4, 501.96, 416.28, 1645.0, 674.0, 751.0, 690.0
14, 6, 36.82, 2.44, 5.84, 4.32, 448.88, 790.18, 729.82, 1645.0, 728.0, 784.0, 737.0
15, 2, 141.76, 1.04, 1.56, 1.1, 123.32, 196.08, 153.34, 3513.0, 1426.0, 1421.0, 1426.0
15, 3, 125.54, 1.66, 2.64, 1.74, 181.54, 293.58, 237.56, 3607.0, 1467.0, 1463.0, 1427.0
15, 4, 109.66, 1.86, 3.4, 2.68, 223.14, 425.1, 346.3, 3675.0, 1473.0, 1494.0, 1471.0
15, 5, 113.46, 2.08, 4.48, 3.3, 281.28, 589.98, 491.04, 3641.0, 1518.0, 1544.0, 1487.0
15, 6, 86.34, 4.16, 11.84, 7.58, 666.48, 1266.6, 1048.56, 3567.0, 1783.0, 1703.0, 1626.0
16, 2, 316.9, 1.26, 2.02, 1.32, 143.14, 216.3, 191.24, 8050.0, 3112.0, 3015.0, 3114.0
16, 3, 316.3, 1.88, 3.88, 2.5, 221.78, 394.48, 310.68, 8100.0, 3181.0, 3232.0, 3184.0
16, 4, 262.36, 2.64, 6.04, 3.34, 318.94, 614.14, 440.32, 8191.0, 3199.0, 3280.0, 3240.0
16, 5, 260.12, 2.92, 7.18, 4.02, 417.2, 817.64, 615.04, 8255.0, 3246.0, 3251.0, 3206.0
16, 6, 205.32, 4.82, 14.78, 9.98, 724.3, 1346.76, 1145.68, 8325.0, 3463.0, 3499.0, 3445.0
17, 2, 768.08, 1.48, 2.3, 1.64, 157.34, 255.9, 204.9, 18482.0, 6520.0, 6876.0, 6647.0
17, 3, 688.92, 2.08, 4.7, 3.06, 230.54, 448.48, 363.2, 18302.0, 6860.0, 6988.0, 6799.0
17, 4, 650.42, 2.94, 7.44, 4.34, 354.04, 763.26, 537.7, 18455.0, 7043.0, 7133.0, 7001.0
17, 5, 608.22, 4.58, 10.34, 7.08, 544.14, 989.96, 804.94, 18558.0, 6984.0, 7126.0, 6950.0
17, 6, 483.64, 8.84, 30.08, 20.12, 1093.52, 2007.34, 1681.08, 18575.0, 7537.0, 7712.0, 7328.0
18, 2, 1578.24, 1.92, 3.24, 2.26, 198.3, 311.44, 282.0, 41536.0, 14532.0, 14207.0, 13891.0
18, 3, 1511.52, 3.1, 6.38, 4.02, 303.1, 560.84, 423.82, 42011.0, 14770.0, 15303.0, 15067.0
18, 4, 1447.08, 4.44, 9.54, 5.58, 477.8, 919.76, 649.3, 42149.0, 14937.0, 15610.0, 15062.0
18, 5, 1413.36, 5.68, 16.16, 8.88, 751.1, 1413.58, 1002.1, 41805.0, 14843.0, 15788.0, 15816.0
18, 6, 1185.28, 15.5, 57.04, 39.96, 1590.72, 3026.22, 2443.3, 41841.0, 16868.0, 16518.0, 15718.0
19, 2, 3663.26, 1.68, 3.32, 2.1, 191.72, 331.84, 259.9, 109221.0, 31097.0, 32379.0, 29495.0
19, 3, 3368.16, 3.5, 7.94, 4.7, 337.8, 669.18, 482.2, 112698.0, 29368.0, 30729.0, 29290.0
19, 4, 3279.12, 5.0, 13.3, 6.98, 518.22, 1041.96, 757.72, 113211.0, 30036.0, 31269.0, 29826.0
19, 5, 2857.66, 8.68, 25.78, 12.06, 935.28, 1794.5, 1205.14, 113561.0, 30424.0, 32230.0, 29885.0
19, 6, 2694.84, 24.26, 87.14, 50.76, 1938.3, 3900.16, 2859.66, 114723.0, 32768.0, 35399.0, 31862.0
20, 2, 7952.46, 2.66, 4.5, 3.2, 283.68, 424.34, 351.84, 247622.0, 65078.0, 68511.0, 61222.0
20, 3, 7813.98, 4.24, 8.6, 5.64, 384.88, 697.74, 539.52, 249556.0, 64771.0, 69455.0, 63169.0
20, 4, 6268.32, 5.8, 20.04, 13.02, 650.52, 1451.6, 1106.16, 246076.0, 66009.0, 70466.0, 64565.0
20, 5, 9734.08, 12.7, 40.0, 24.3, 1162.2, 2290.7, 1726.86, 257359.0, 67884.0, 71771.0, 64771.0
20, 6, 5854.96, 22.3, 119.4, 63.24, 1854.36, 4670.82, 3551.16, 253184.0, 71455.0, 77321.0, 67521.0
