nbPlayer, nbType, timeCreateADD, timeCreateDAG, nbNodeADD, nbNodeDAG, timeSolveDAG
5, 2, 0.215, 0.02, 15.49, 18.305, 0.415
5, 3, 0.045, 0.03, 18.47, 21.59, 0.42
5, 4, 0.07, 0.0, 16.06, 20.23, 0.31
5, 5, 0.045, 0.01, 14.795, 20.025, 0.3
5, 6, 0.035, 0.025, 9.155, 14.605, 0.27
6, 2, 0.045, 0.025, 22.505, 26.51, 0.37
6, 3, 0.01, 0.005, 29.225, 32.915, 0.425
6, 4, 0.06, 0.0, 26.575, 31.74, 0.4
6, 5, 0.045, 0.01, 27.035, 33.955, 0.325
6, 6, 0.03, 0.025, 18.585, 26.73, 0.31
7, 2, 0.025, 0.01, 28.78, 34.39, 0.4
7, 3, 0.04, 0.005, 44.1, 49.485, 0.53
7, 4, 0.075, 0.0, 43.28, 50.155, 0.43
7, 5, 0.055, 0.01, 40.65, 49.585, 0.375
7, 6, 0.04, 0.01, 34.3, 45.63, 0.365
8, 2, 0.015, 0.0, 39.375, 46.41, 0.54
8, 3, 0.035, 0.005, 62.925, 68.725, 0.56
8, 4, 0.105, 0.025, 59.85, 68.04, 0.495
8, 5, 0.09, 0.02, 68.725, 79.77, 0.52
8, 6, 0.145, 0.0, 57.145, 72.205, 0.455
9, 2, 0.065, 0.0, 45.79, 55.85, 0.535
9, 3, 0.055, 0.01, 81.355, 89.395, 0.655
9, 4, 0.075, 0.01, 82.585, 92.735, 0.565
9, 5, 0.155, 0.015, 99.745, 114.78, 0.61
9, 6, 0.19, 0.01, 85.085, 106.77, 0.57
10, 2, 0.04, 0.01, 61.36, 73.67, 0.55
10, 3, 0.07, 0.015, 109.72, 119.64, 0.74
10, 4, 0.135, 0.01, 118.37, 131.855, 0.66
10, 5, 0.215, 0.025, 140.225, 157.375, 0.765
10, 6, 0.3, 0.015, 138.73, 167.175, 0.775
11, 2, 0.07, 0.005, 72.865, 88.88, 0.665
11, 3, 0.1, 0.03, 131.995, 145.135, 0.885
11, 4, 0.195, 0.01, 160.765, 176.905, 0.95
11, 5, 0.3, 0.02, 199.87, 222.86, 1.01
11, 6, 0.54, 0.01, 197.825, 234.705, 0.965
12, 2, 0.03, 0.015, 88.11, 106.655, 0.82
12, 3, 0.1, 0.04, 178.135, 194.62, 1.1
12, 4, 0.225, 0.03, 203.17, 223.445, 1.09
12, 5, 0.5, 0.02, 261.265, 288.83, 1.2
12, 6, 0.815, 0.04, 296.175, 342.715, 1.415
13, 2, 0.09, 0.03, 100.73, 124.025, 0.84
13, 3, 0.165, 0.04, 211.34, 234.34, 1.28
13, 4, 0.395, 0.035, 264.185, 288.715, 1.375
13, 5, 0.75, 0.045, 337.0, 373.975, 1.665
13, 6, 1.095, 0.06, 399.045, 461.67, 1.925
14, 2, 0.085, 0.04, 129.14, 160.415, 1.06
14, 3, 0.25, 0.025, 264.155, 290.77, 1.605
14, 4, 0.895, 0.085, 335.525, 368.475, 2.425
14, 5, 1.555, 0.14, 458.215, 503.86, 2.945
14, 6, 2.41, 0.135, 539.79, 614.085, 3.495
15, 2, 0.15, 0.07, 143.865, 177.035, 1.64
15, 3, 0.39, 0.095, 310.52, 339.735, 2.63
15, 4, 0.975, 0.085, 415.52, 453.23, 3.005
15, 5, 1.915, 0.115, 601.11, 648.235, 3.77
15, 6, 4.465, 0.14, 739.39, 835.215, 5.82
16, 2, 0.22, 0.125, 169.38, 211.295, 2.21
16, 3, 0.57, 0.115, 393.8, 428.495, 3.905
16, 4, 1.385, 0.135, 543.48, 582.8, 3.395
16, 5, 2.135, 0.12, 735.46, 799.92, 4.335
16, 6, 5.74, 0.15, 956.49, 1073.32, 7.075
17, 2, 0.135, 0.115, 176.755, 224.36, 1.605
17, 3, 0.5, 0.13, 451.64, 497.285, 3.05
17, 4, 1.545, 0.14, 646.21, 700.33, 3.82
17, 5, 2.805, 0.15, 964.935, 1045.65, 6.08
17, 6, 6.99, 0.165, 1176.905, 1312.17, 10.04
18, 2, 0.135, 0.08, 225.925, 277.445, 2.015
18, 3, 0.635, 0.11, 496.36, 556.845, 3.425
18, 4, 1.99, 0.14, 738.96, 797.185, 4.485
18, 5, 3.645, 0.17, 1176.245, 1274.235, 8.775
18, 6, 13.9, 0.23, 1517.745, 1678.79, 16.41
19, 2, 0.245, 0.09, 240.0, 302.82, 2.455
19, 3, 0.77, 0.125, 600.425, 673.23, 4.595
19, 4, 3.285, 0.14, 879.85, 955.025, 5.94
19, 5, 7.475, 0.18, 1538.085, 1643.485, 14.27
19, 6, 21.45, 0.245, 1887.76, 2085.465, 23.67
20, 2, 0.22, 0.11, 298.74, 367.57, 2.655
20, 3, 1.0, 0.1, 693.995, 769.275, 5.53
20, 4, 5.145, 0.195, 1044.955, 1144.455, 8.79
20, 5, 9.095, 0.24, 1843.735, 1967.595, 20.29
20, 6, 24.24, 0.245, 2529.935, 2765.64, 37.49
21, 2, 0.32, 0.125, 310.19, 397.31, 2.74
21, 3, 1.615, 0.155, 808.435, 901.06, 7.515
21, 4, 13.515, 0.21, 1260.925, 1360.675, 12.78
21, 5, 12.665, 0.23, 2284.295, 2447.26, 28.99
21, 6, 26.365, 0.27, 2867.955, 3137.02, 45.8
