nbPlayer, nbType, creationAddTime, nbNodeADD, creationDagTime, nbNodeDAG, solvingTime, emptyCore, cos
5, 1, 1.0, 11, 1.0, 17, 3.0, true, 0.666666666666667
7, 1, 0.0, 18, 0.0, 30, 1.0, true, 0.75
9, 1, 0.0, 27, 0.0, 47, 1.0, true, 0.7999999999999998
11, 1, 0.0, 38, 0.0, 68, 1.0, true, 0.833333333333333
13, 1, 0.0, 51, 0.0, 93, 1.0, true, 0.8571428571428568
15, 1, 0.0, 66, 0.0, 122, 1.0, true, 0.875
17, 1, 0.0, 83, 0.0, 155, 1.0, true, 0.8888888888888893
19, 1, 0.0, 102, 0.0, 192, 1.0, true, 0.9000000000000008
21, 1, 1.0, 123, 0.0, 233, 2.0, true, 0.9090909090909096
23, 1, 1.0, 146, 0.0, 278, 1.0, true, 0.9166666666666683
25, 1, 0.0, 171, 0.0, 327, 2.0, true, 0.9230769230769229
27, 1, 0.0, 198, 0.0, 380, 2.0, true, 0.9285714285714293
29, 1, 0.0, 227, 0.0, 437, 3.0, true, 0.9333333333333356
31, 1, 0.0, 258, 1.0, 498, 5.0, true, 0.9375
33, 1, 0.0, 291, 0.0, 563, 4.0, true, 0.941176470588238
35, 1, 1.0, 326, 0.0, 632, 5.0, true, 0.9444444444444446
37, 1, 0.0, 363, 1.0, 705, 4.0, true, 0.9473684210526336
39, 1, 1.0, 402, 0.0, 782, 6.0, true, 0.9500000000000033
41, 1, 0.0, 443, 0.0, 863, 7.0, true, 0.9523809523809552
43, 1, 0.0, 486, 0.0, 948, 9.0, true, 0.9545454545454537
45, 1, 1.0, 531, 0.0, 1037, 9.0, true, 0.9565217391304304
47, 1, 0.0, 578, 0.0, 1130, 9.0, true, 0.9583333333333313
49, 1, 0.0, 627, 0.0, 1227, 18.0, true, 0.9600000000000006
51, 1, 1.0, 678, 0.0, 1328, 16.0, true, 0.9615384615384621
