nbPlayer, nbType, creationAddTime, nbNodeADD, creationDagTime, nbNodeDAG, solvingTime, emptyCore, cos
5, 1, 2.0, 21, 0.0, 21, 3.0, false, 0.0
6, 1, 0.0, 28, 0.0, 28, 0.0, false, 0.0
7, 1, 1.0, 36, 0.0, 36, 0.0, false, 0.0
8, 1, 1.0, 45, 0.0, 45, 1.0, false, 0.0
9, 1, 0.0, 55, 0.0, 55, 1.0, false, 0.0
10, 1, 0.0, 66, 0.0, 66, 0.0, false, 0.0
11, 1, 0.0, 78, 0.0, 78, 1.0, false, 0.0
12, 1, 0.0, 91, 0.0, 91, 1.0, false, 0.0
13, 1, 0.0, 105, 0.0, 105, 1.0, false, 0.0
14, 1, 0.0, 120, 0.0, 120, 2.0, false, 0.0
15, 1, 0.0, 136, 0.0, 136, 1.0, false, 0.0
16, 1, 1.0, 153, 0.0, 153, 1.0, false, 0.0
17, 1, 1.0, 171, 0.0, 171, 2.0, false, 0.0
18, 1, 0.0, 190, 0.0, 190, 1.0, false, 0.0
19, 1, 1.0, 210, 0.0, 210, 2.0, false, 0.0
20, 1, 0.0, 231, 0.0, 231, 2.0, false, 0.0
21, 1, 0.0, 253, 0.0, 253, 2.0, false, 0.0
22, 1, 0.0, 276, 0.0, 276, 2.0, false, 0.0
23, 1, 0.0, 300, 0.0, 300, 3.0, false, 0.0
24, 1, 0.0, 325, 0.0, 325, 3.0, false, 0.0
25, 1, 0.0, 351, 0.0, 351, 3.0, false, 0.0
