nbPlayer, nbType, t1Nu, t1AddO, t1AddOo, t1AddNo, t2Nu, t2AddO, t2AddOo, t2AddNo, t3Nu, t3AddO, t3AddOo, t3AddNo, t4Nu, t4AddO, t4AddOo, t4AddNo, n1AddO, n1AddOo, n1AddNo, n2AddO, n2AddOo, n2AddNo, nbEmptyCore
10, 2, 0.0, 0.255, 0.005, 0.0, 0.0, 1.49, 0.0, 0.0, 0.0, 0.82, 0.0, 0.0, 0.0, 0.67, 0.0, 0.0, 50, 0, 0, 66, 0, 0, 77
10, 3, 0.0, 0.355, 0.0, 0.0, 0.0, 1.835, 0.0, 0.0, 0.0, 1.13, 0.0, 0.0, 0.0, 0.705, 0.0, 0.0, 88, 0, 0, 102, 0, 0, 45
10, 4, 0.0, 0.24, 0.0, 0.0, 0.0, 2.535, 0.0, 0.0, 0.0, 1.89, 0.0, 0.0, 0.0, 0.645, 0.0, 0.0, 97, 0, 0, 114, 0, 0, 24
10, 5, 0.0, 0.32, 0.0, 0.0, 0.0, 2.625, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.625, 0.0, 0.0, 117, 0, 0, 137, 0, 0, 35
10, 6, 0.0, 0.425, 0.0, 0.0, 0.0, 2.66, 0.0, 0.0, 0.0, 2.04, 0.0, 0.0, 0.0, 0.62, 0.0, 0.0, 113, 0, 0, 140, 0, 0, 2
11, 2, 0.0, 0.115, 0.0, 0.0, 0.0, 1.75, 0.0, 0.0, 0.0, 1.235, 0.0, 0.0, 0.0, 0.515, 0.0, 0.0, 58, 0, 0, 79, 0, 0, 101
11, 3, 0.0, 0.14, 0.0, 0.0, 0.0, 2.555, 0.0, 0.0, 0.0, 1.82, 0.0, 0.0, 0.0, 0.735, 0.0, 0.0, 109, 0, 0, 128, 0, 0, 60
11, 4, 0.0, 0.3, 0.0, 0.0, 0.0, 2.875, 0.0, 0.0, 0.0, 2.16, 0.0, 0.0, 0.0, 0.715, 0.0, 0.0, 127, 0, 0, 149, 0, 0, 23
11, 5, 0.0, 0.315, 0.0, 0.0, 0.0, 3.455, 0.0, 0.0, 0.0, 2.635, 0.0, 0.0, 0.0, 0.82, 0.0, 0.0, 151, 0, 0, 176, 0, 0, 46
11, 6, 0.0, 0.49, 0.0, 0.0, 0.0, 3.555, 0.0, 0.0, 0.0, 2.78, 0.0, 0.0, 0.0, 0.775, 0.0, 0.0, 155, 0, 0, 192, 0, 0, 3
12, 2, 0.0, 0.085, 0.0, 0.0, 0.0, 2.27, 0.0, 0.0, 0.0, 1.565, 0.0, 0.0, 0.0, 0.705, 0.0, 0.0, 77, 0, 0, 101, 0, 0, 92
12, 3, 0.0, 0.18, 0.0, 0.0, 0.0, 3.18, 0.0, 0.0, 0.0, 2.37, 0.0, 0.0, 0.0, 0.81, 0.0, 0.0, 136, 0, 0, 160, 0, 0, 60
12, 4, 0.0, 0.27, 0.0, 0.0, 0.0, 3.74, 0.0, 0.0, 0.0, 2.85, 0.0, 0.0, 0.0, 0.89, 0.0, 0.0, 168, 0, 0, 194, 0, 0, 24
12, 5, 0.0, 0.4, 0.0, 0.0, 0.0, 4.56, 0.0, 0.0, 0.0, 3.525, 0.0, 0.0, 0.0, 1.035, 0.0, 0.0, 206, 0, 0, 239, 0, 0, 51
12, 6, 0.0, 0.91, 0.0, 0.0, 0.0, 3.73, 0.0, 0.0, 0.0, 2.65, 0.0, 0.0, 0.0, 1.08, 0.0, 0.0, 229, 0, 0, 277, 0, 0, 8
13, 2, 0.0, 0.085, 0.0, 0.0, 0.0, 2.52, 0.0, 0.0, 0.0, 1.79, 0.0, 0.0, 0.0, 0.73, 0.0, 0.0, 81, 0, 0, 112, 0, 0, 104
13, 3, 0.0, 0.215, 0.0, 0.0, 0.0, 3.74, 0.0, 0.0, 0.0, 2.775, 0.0, 0.0, 0.0, 0.965, 0.0, 0.0, 153, 0, 0, 184, 0, 0, 73
13, 4, 0.0, 0.355, 0.0, 0.0, 0.0, 4.345, 0.0, 0.0, 0.0, 3.24, 0.0, 0.0, 0.0, 1.105, 0.0, 0.0, 206, 0, 0, 239, 0, 0, 30
13, 5, 0.0, 0.715, 0.0, 0.0, 0.0, 4.525, 0.0, 0.0, 0.0, 3.25, 0.0, 0.0, 0.0, 1.275, 0.0, 0.0, 282, 0, 0, 321, 0, 0, 60
13, 6, 0.0, 1.19, 0.0, 0.0, 0.0, 6.885, 0.0, 0.0, 0.0, 5.51, 0.0, 0.0, 0.0, 1.375, 0.0, 0.0, 319, 0, 0, 384, 0, 0, 12
14, 2, 0.0, 0.115, 0.0, 0.0, 0.0, 3.105, 0.0, 0.0, 0.0, 2.22, 0.0, 0.0, 0.0, 0.885, 0.0, 0.0, 107, 0, 0, 142, 0, 0, 103
14, 3, 0.0, 0.265, 0.0, 0.0, 0.0, 5.015, 0.0, 0.0, 0.0, 3.775, 0.0, 0.0, 0.0, 1.24, 0.0, 0.0, 218, 0, 0, 250, 0, 0, 57
14, 4, 0.0, 0.535, 0.0, 0.0, 0.0, 6.535, 0.0, 0.0, 0.0, 5.02, 0.0, 0.0, 0.0, 1.515, 0.0, 0.0, 297, 0, 0, 339, 0, 0, 29
14, 5, 0.0, 1.075, 0.0, 0.0, 0.0, 7.755, 0.0, 0.0, 0.0, 6.105, 0.0, 0.0, 0.0, 1.65, 0.0, 0.0, 360, 0, 0, 416, 0, 0, 62
14, 6, 0.0, 1.89, 0.0, 0.0, 0.0, 8.895, 0.0, 0.0, 0.0, 7.08, 0.0, 0.0, 0.0, 1.815, 0.0, 0.0, 430, 0, 0, 506, 0, 0, 7
15, 2, 0.0, 0.13, 0.0, 0.0, 0.0, 3.37, 0.0, 0.0, 0.0, 2.45, 0.0, 0.0, 0.0, 0.92, 0.0, 0.0, 114, 0, 0, 157, 0, 0, 120
15, 3, 0.0, 0.43, 0.0, 0.0, 0.0, 4.05, 0.0, 0.0, 0.0, 2.555, 0.0, 0.0, 0.0, 1.495, 0.0, 0.0, 254, 0, 0, 300, 0, 0, 74
15, 4, 0.0, 0.74, 0.0, 0.0, 0.0, 4.59, 0.0, 0.0, 0.0, 2.865, 0.0, 0.0, 0.0, 1.725, 0.0, 0.0, 321, 0, 0, 375, 0, 0, 41
15, 5, 0.0, 1.33, 0.0, 0.0, 0.0, 10.97, 0.0, 0.0, 0.0, 8.61, 0.0, 0.0, 0.0, 2.36, 0.0, 0.0, 511, 0, 0, 577, 0, 0, 56
15, 6, 0.0, 2.535, 0.0, 0.0, 0.0, 11.875, 0.0, 0.0, 0.0, 9.31, 0.0, 0.0, 0.0, 2.565, 0.0, 0.0, 558, 0, 0, 662, 0, 0, 8
16, 2, 0.0, 0.23, 0.0, 0.0, 0.0, 4.6, 0.0, 0.0, 0.0, 3.26, 0.0, 0.0, 0.0, 1.34, 0.0, 0.0, 165, 0, 0, 212, 0, 0, 86
16, 3, 0.0, 0.43, 0.0, 0.0, 0.0, 7.205, 0.0, 0.0, 0.0, 5.42, 0.0, 0.0, 0.0, 1.785, 0.0, 0.0, 302, 0, 0, 353, 0, 0, 58
16, 4, 0.0, 0.96, 0.0, 0.0, 0.0, 9.71, 0.0, 0.0, 0.0, 7.39, 0.0, 0.0, 0.0, 2.32, 0.0, 0.0, 443, 0, 0, 503, 0, 0, 41
16, 5, 0.0, 2.3, 0.0, 0.0, 0.0, 13.295, 0.0, 0.0, 0.0, 10.365, 0.0, 0.0, 0.0, 2.93, 0.0, 0.0, 625, 0, 0, 705, 0, 0, 68
16, 6, 0.0, 3.925, 0.0, 0.0, 0.0, 16.75, 0.0, 0.0, 0.0, 12.715, 0.0, 0.0, 0.0, 4.035, 0.0, 0.0, 799, 0, 0, 923, 0, 0, 13
17, 2, 0.0, 0.17, 0.0, 0.0, 0.0, 4.78, 0.0, 0.0, 0.0, 3.345, 0.0, 0.0, 0.0, 1.435, 0.0, 0.0, 169, 0, 0, 223, 0, 0, 120
17, 3, 0.0, 0.465, 0.0, 0.0, 0.0, 8.38, 0.0, 0.0, 0.0, 6.225, 0.0, 0.0, 0.0, 2.155, 0.0, 0.0, 363, 0, 0, 423, 0, 0, 72
17, 4, 0.0, 1.445, 0.0, 0.0, 0.0, 11.175, 0.0, 0.0, 0.0, 8.47, 0.0, 0.0, 0.0, 2.705, 0.0, 0.0, 511, 0, 0, 582, 0, 0, 34
17, 5, 0.0, 3.41, 0.0, 0.0, 0.0, 16.025, 0.0, 0.0, 0.0, 12.065, 0.0, 0.0, 0.0, 3.96, 0.0, 0.0, 735, 0, 0, 833, 0, 0, 80
17, 6, 0.0, 6.57, 0.0, 0.0, 0.0, 21.46, 0.0, 0.0, 0.0, 15.305, 0.0, 0.0, 0.0, 6.155, 0.0, 0.0, 976, 0, 0, 1123, 0, 0, 15
